frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662122119226846720.png,0.182668,0.539464,2.569696,0.505121,0.777824,0.921713,0.944138
1662122119271847680.png,0.187034,0.550643,2.577096,0.509427,0.774899,0.921149,0.944085
1662122119319848704.png,0.183012,0.454660,2.195043,0.412816,0.778489,0.928236,0.949964
1662122119364849664.png,0.177753,0.540056,2.534096,0.505595,0.800547,0.927338,0.944308
1662122119403850496.png,0.216386,0.832445,3.275522,0.674092,0.750839,0.889294,0.912515
1662122119442851328.png,0.187695,0.693411,3.012433,0.604486,0.793324,0.911606,0.932954
1662122119484852224.png,0.167521,0.584042,2.763273,0.536852,0.814347,0.919979,0.945713
1662122119526853120.png,0.169452,0.578322,2.775297,0.551805,0.788747,0.928272,0.947845
1662122119571854080.png,0.173011,0.591148,2.820140,0.567851,0.802996,0.929228,0.945202
1662122119613854976.png,0.198933,0.723909,3.073502,0.650174,0.792826,0.899158,0.936756
1662122119652855808.png,0.175723,0.650977,2.988390,0.649917,0.811262,0.910985,0.939960
1662122119697856768.png,0.166503,0.637309,2.978077,0.663718,0.813320,0.898852,0.942071
1662122119739857664.png,0.192395,0.633686,2.905520,0.639104,0.781680,0.885010,0.929783
1662122119778858496.png,0.186685,0.643088,2.902421,0.647415,0.793787,0.881332,0.925923
1662122119823859456.png,0.209033,0.619870,2.798565,0.647397,0.797401,0.859159,0.917337
1662122119874860544.png,0.257184,0.564311,2.514374,0.620467,0.762292,0.830595,0.897891
1662122119922861568.png,0.312313,0.553697,2.409086,0.625704,0.683098,0.820476,0.884107
1662122119964862464.png,0.333762,0.589065,2.415935,0.620913,0.645735,0.810869,0.891628
1662122120009863424.png,0.819011,0.829886,2.893598,0.906522,0.573536,0.645819,0.678197
1662122120054864384.png,0.173111,0.753883,3.223422,0.723407,0.821665,0.903377,0.920913
1662122120096865280.png,0.182479,0.785107,3.327704,0.754871,0.823208,0.900625,0.916817
1662122120138866176.png,0.193711,0.814511,3.337933,0.793768,0.821027,0.896844,0.914838
1662122120180867072.png,0.190678,0.856751,3.473091,0.823858,0.835146,0.887128,0.907975
1662122120222867968.png,0.189679,0.874479,3.577956,0.811569,0.810798,0.887172,0.911034
