frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662015400530632192.png,0.789567,3.943673,6.089504,1.585728,0.000036,0.000082,0.000178
1662015400575633152.png,0.764082,3.693690,5.901554,1.469563,0.000041,0.000064,0.000406
1662015400617634048.png,0.775201,3.771055,5.926262,1.513781,0.000137,0.000160,0.000397
1662015400665635072.png,0.764562,3.693093,5.854437,1.473720,0.000082,0.000150,0.000487
1662015400710636032.png,0.745730,3.478565,5.601646,1.395622,0.000068,0.000212,0.000455
1662015400752636928.png,0.758512,3.558550,5.563740,1.456070,0.000161,0.000251,0.000515
1662015311059723520.png,0.763080,4.077170,6.496432,1.557475,0.000000,0.000000,0.019229
1662015311101724416.png,0.775914,4.170404,6.544114,1.615875,0.000000,0.000000,0.006551
1662015311146725376.png,0.757418,4.247337,6.832739,1.538787,0.000000,0.000000,0.025727
1662015311203726592.png,0.771021,4.437685,7.017002,1.600224,0.000000,0.000000,0.017520
1662015311248727552.png,0.775723,4.431891,6.979893,1.608109,0.000000,0.000021,0.007570
1662015311293728512.png,0.790196,4.545849,7.039364,1.687614,0.000000,0.000091,0.002396
1662015311335729408.png,0.799566,4.653156,7.113985,1.741469,0.000000,0.000000,0.000000
1662015311377730304.png,0.798865,4.739422,7.227635,1.774388,0.000000,0.000000,0.000037
1662015311422731264.png,0.818591,4.855005,7.258745,1.859199,0.000000,0.000000,0.000000
1662015311464732160.png,0.824940,4.908877,7.266581,1.908402,0.000000,0.000000,0.000000
1662015311506733056.png,0.805524,4.728882,7.144351,1.801359,0.000000,0.000000,0.000000
1662015311548733952.png,0.809705,4.803241,7.211635,1.845192,0.000000,0.000000,0.000000
1662015311590734848.png,0.792601,4.558350,6.982995,1.717725,0.000000,0.000000,0.000000
1662015311635735808.png,0.793968,4.565737,6.974006,1.716903,0.000000,0.000000,0.000000
1662015311677736704.png,0.809625,4.681279,7.036887,1.787897,0.000000,0.000000,0.000026
1662015311719737600.png,0.769648,4.264019,6.708836,1.571959,0.000021,0.000021,0.000173
1662015311761738496.png,0.771600,4.257355,6.675682,1.574682,0.000000,0.000000,0.000042
1662015311809739520.png,0.753530,4.148437,6.633440,1.502424,0.000000,0.000047,0.000428
1662015311857740544.png,0.746725,4.095262,6.589128,1.462279,0.000000,0.000000,0.000234
1662015311902741504.png,0.751745,4.159948,6.656260,1.477964,0.000000,0.000047,0.000218
1662015311944742400.png,0.775894,4.382851,6.802759,1.580020,0.000000,0.000000,0.000129
1662015311986743296.png,0.760836,4.284198,6.765428,1.509514,0.000000,0.000016,0.000181
1662015312031744256.png,0.753203,4.229711,6.735579,1.475308,0.000000,0.000036,0.000207
1662015312076745216.png,0.754479,4.282562,6.800022,1.483162,0.000000,0.000021,0.000129
1662015312130746368.png,0.730876,4.033005,6.603011,1.377911,0.000000,0.000446,0.000519
1662015312169747200.png,0.736620,4.055512,6.609418,1.385968,0.000010,0.000167,0.000937
1662015312208748032.png,0.739780,4.063563,6.624310,1.389529,0.000000,0.000334,0.000882
1662015312253748992.png,0.748372,4.279680,6.873187,1.442255,0.000005,0.000284,0.000737
1662015312295749888.png,0.754690,4.314888,6.890301,1.462047,0.000000,0.000149,0.000448
1662015312340750848.png,0.729839,4.213250,6.905410,1.384382,0.000027,0.000129,0.000399
1662015312379751680.png,0.718124,4.084331,6.812258,1.336295,0.000163,0.000820,0.001864
1662015312424752640.png,0.732854,4.208836,6.917812,1.383023,0.000249,0.001563,0.004170
1662015312463753472.png,0.728826,4.167843,6.891405,1.366287,0.000478,0.000956,0.001967
1662015312508754432.png,0.713695,4.041165,6.796611,1.308626,0.000285,0.001564,0.003329
1662015312550755328.png,0.745827,4.387519,7.070883,1.428699,0.000235,0.000791,0.001850
1662015312592756224.png,0.734985,4.353731,7.065027,1.395808,0.000017,0.000585,0.001169
1662015312631757056.png,0.735946,4.425776,7.144753,1.400246,0.000034,0.000079,0.002349
1662015312679758080.png,0.764535,4.786098,7.422133,1.529279,0.000006,0.000017,0.000107
1662015312724759040.png,0.756570,4.738261,7.411306,1.492808,0.000051,0.000074,0.000464
1662015312766759936.png,0.759291,4.775189,7.446281,1.500673,0.000000,0.000006,0.000130
1662015312811760896.png,0.766108,4.909464,7.581429,1.541702,0.000000,0.000000,0.000073
1662015312856761856.png,0.767446,4.928042,7.604379,1.542051,0.000000,0.000040,0.000300
1662015312901762816.png,0.767068,5.033213,7.734115,1.546881,0.000000,0.000028,0.000244
1662015312943763712.png,0.769607,5.058363,7.750318,1.557584,0.000000,0.000028,0.000238
1662015312985764608.png,0.753405,5.041234,7.777429,1.482138,0.000000,0.000085,0.001125
1662015313027765504.png,0.754895,5.270686,8.016112,1.505678,0.000000,0.000045,0.000673
1662015313075766528.png,0.746651,5.184202,7.942023,1.450851,0.000000,0.000125,0.000674
1662015313117767424.png,0.771830,5.622036,8.275072,1.576597,0.000000,0.000169,0.000531
1662015313159768320.png,0.779217,5.719477,8.322758,1.595535,0.000006,0.000158,0.000609
1662015313201769216.png,0.774052,5.746109,8.356658,1.576940,0.000000,0.000051,0.000452
1662015313240770048.png,0.769455,5.763348,8.392622,1.562477,0.000006,0.000176,0.000488
1662015313282770944.png,0.765496,5.803628,8.482429,1.534270,0.000028,0.000237,0.000689
1662015313327771904.png,0.763531,5.829832,8.508919,1.523355,0.000011,0.000096,0.000574
1662015313369772800.png,0.775060,6.015265,8.628148,1.578101,0.000000,0.000028,0.000519
1662015313411773696.png,0.776065,6.126306,8.709177,1.584355,0.000000,0.000057,0.000325
1662015313456774656.png,0.771571,6.083231,8.658340,1.550774,0.000000,0.000028,0.000256
